bandnumber,species,sex,wing,weight,hallux,tail,maturity
1142-09240,Sharp-shinned,M,166.0,120.0,11.7,133,
1142-09241,Sharp-shinned,M,170.0,110.0,121.0,135,
1142-09242,Sharp-shinned,M,165.0,95.0,11.6,131,Infant
1142-18229,Sharp-shinned,M,161.0,95.0,11.3,135,Infant
1142-19209,Sharp-shinned,M,165.0,96.0,11.4,125,
1142-19210,Sharp-shinned,M,163.0,100.0,11.6,128,Infant
1142-19211,Sharp-shinned,M,163.0,100.0,11.3,131,Infant
1142-19212,Sharp-shinned,F,165.0,95.0,11.2,136,Infant
1142-19213,Sharp-shinned,M,163.0,125.0,10.9,135,Infant
1142-19214,Sharp-shinned,M,167.0,100.0,11.3,132,
1142-19215,Sharp-shinned,M,162.0,110.0,11.8,130,
1142-19227,Sharp-shinned,M,175.0,107.0,11.4,137,
1142-19228,Sharp-shinned,M,169.0,95.0,11.85,132,Infant
1142-19230,Sharp-shinned,M,161.0,90.0,11.1,130,Infant
1142-19231,Sharp-shinned,M,162.0,85.0,11.4,132,Infant
1142-19232,Sharp-shinned,M,163.0,90.0,11.5,123,Infant
1142-19233,Sharp-shinned,M,170.0,100.0,12.2,132,
1142-19234,Sharp-shinned,M,165.0,105.0,11.8,127,
1142-19235,Sharp-shinned,M,155.0,100.0,11.8,122,
1142-19236,Sharp-shinned,M,161.0,105.0,12.0,124,
1142-19237,Sharp-shinned,M,169.0,100.0,11.7,133,
1142-19238,Sharp-shinned,M,164.0,90.0,10.7,127,Infant
1142-19239,Sharp-shinned,M,165.0,95.0,11.4,127,
1142-19243,Sharp-shinned,M,165.0,100.0,12.1,137,Infant
1142-19244,Sharp-shinned,M,164.0,95.0,130.0,136,Infant
1142-19245,Sharp-shinned,M,161.0,100.0,11.9,129,Infant
1142-19246,Sharp-shinned,M,167.0,115.0,11.4,131,Infant
1142-19247,Sharp-shinned,M,164.0,105.0,11.2,132,Infant
1142-19248,Sharp-shinned,M,162.0,95.0,11.0,119,
1142-19249,Sharp-shinned,M,165.0,95.0,11.0,130,Infant
1142-19250,Sharp-shinned,M,161.0,95.0,11.0,124,
1142-19251,Sharp-shinned,M,161.0,110.0,11.8,130,Infant
1142-19252,Sharp-shinned,M,165.0,105.0,11.2,140,Infant
1142-19253,Sharp-shinned,M,171.0,95.0,11.7,138,Infant
1142-19254,Sharp-shinned,M,169.0,105.0,11.8,136,
1142-19255,Sharp-shinned,M,172.0,120.0,11.8,132,
1142-19256,Sharp-shinned,M,167.0,105.0,10.8,131,
1142-19257,Sharp-shinned,M,168.0,95.0,12.1,133,Infant
1142-19258,Sharp-shinned,M,171.0,95.0,11.5,135,Infant
1142-19259,Sharp-shinned,M,155.0,100.0,12.0,129,Infant
1142-19260,Sharp-shinned,M,160.0,90.0,11.5,132,Infant
1142-19261,Sharp-shinned,M,166.0,105.0,11.4,131,Infant
1142-19262,Sharp-shinned,M,166.0,110.0,11.9,139,Infant
1142-19263,Sharp-shinned,M,162.0,100.0,11.1,131,Infant
1142-19264,Sharp-shinned,M,159.0,90.0,11.5,130,
1142-19265,Sharp-shinned,M,163.0,100.0,11.7,130,Infant
1142-19266,Sharp-shinned,M,166.0,105.0,12.0,141,Infant
1142-19267,Sharp-shinned,M,159.0,105.0,11.0,131,Infant
1142-19268,Sharp-shinned,M,162.0,105.0,12.5,132,Infant
1142-19269,Sharp-shinned,M,168.0,100.0,10.7,135,Infant
1142-19270,Sharp-shinned,M,168.0,105.0,11.6,134,
1142-19271,Sharp-shinned,M,160.0,105.0,11.4,136,
1142-19272,Sharp-shinned,M,166.0,115.0,11.6,136,Infant
1142-19273,Sharp-shinned,M,159.0,110.0,11.1,125,Infant
1142-19274,Sharp-shinned,M,161.0,100.0,11.5,134,Infant
1142-19275,Sharp-shinned,M,161.0,90.0,11.3,123,Infant
1142-19276,Sharp-shinned,M,160.0,90.0,11.4,131,Infant
1142-19277,Sharp-shinned,M,156.0,85.0,11.0,129,Infant
1142-19278,Sharp-shinned,M,159.0,95.0,10.4,125,Infant
1142-19279,Sharp-shinned,M,161.0,95.0,11.5,131,Infant
1142-19280,Sharp-shinned,M,159.0,95.0,11.2,132,Infant
1142-19281,Sharp-shinned,M,157.0,105.0,11.5,133,Infant
1142-19282,Sharp-shinned,M,168.0,100.0,11.9,134,Infant
1142-19283,Sharp-shinned,M,156.0,100.0,11.2,122,Infant
1142-19284,Sharp-shinned,M,163.0,105.0,11.7,137,Infant
1142-19285,Sharp-shinned,M,160.0,95.0,11.2,135,Infant
1142-19286,Sharp-shinned,M,162.0,100.0,11.4,136,Infant
1142-19287,Sharp-shinned,M,161.0,95.0,11.7,129,
1142-19288,Sharp-shinned,M,161.0,95.0,12.4,121,
1142-19289,Sharp-shinned,M,165.0,100.0,12.0,134,Infant
1173-19901,Sharp-shinned,M,173.0,100.0,,130,Infant
1173-19906,Sharp-shinned,M,158.0,100.0,10.5,122,Infant
1173-19907,Sharp-shinned,M,176.0,100.0,11.1,133,
1177-04601,Red-tailed,F,399.0,1170.0,29.9,247,Infant
1177-04602,Red-tailed,F,363.0,850.0,30.0,220,Infant
1177-04603,Red-tailed,M,371.0,1145.0,10.3,215,Infant
1177-04604,Red-tailed,M,386.0,1090.0,28.2,226,Infant
1177-04605,Red-tailed,M,390.0,1050.0,29.0,236,Infant
1177-04607,Red-tailed,F,354.0,965.0,28.5,226,Infant
1177-04608,Red-tailed,M,403.0,1105.0,33.2,242,Infant
1177-04609,Red-tailed,M,375.0,1045.0,30.0,221,Infant
1177-04610,Red-tailed,M,368.0,1015.0,30.3,219,Infant
1177-04611,Red-tailed,F,393.0,1385.0,32.6,225,
1177-04612,Red-tailed,M,370.0,1165.0,31.5,221,Infant
1177-04613,Red-tailed,F,378.0,905.0,32.3,215,Infant
1177-04614,Red-tailed,M,369.0,985.0,31.1,223,Infant
1177-04616,Red-tailed,F,373.0,920.0,28.3,223,Infant
1177-04617,Red-tailed,M,375.0,1019.0,29.9,186,Infant
1177-04618,Red-tailed,M,379.0,1005.0,31.4,209,Infant
1177-04619,Red-tailed,M,377.0,1010.0,29.0,207,
1177-04620,Red-tailed,M,390.0,1120.0,30.0,210,Infant
1177-04622,Red-tailed,M,351.0,775.0,29.3,200,Infant
1177-04623,Red-tailed,F,376.0,1145.0,31.55,226,Infant
1177-04624,Red-tailed,M,399.0,1150.0,29.55,232,Infant
1177-04625,Red-tailed,M,357.0,940.0,28.35,205,Infant
1177-04626,Red-tailed,F,390.0,1015.0,30.1,230,Infant
1177-04627,Red-tailed,M,379.0,975.0,29.1,219,Infant
1177-04628,Red-tailed,F,376.0,1035.0,30.5,223,Infant
1177-04629,Red-tailed,M,331.0,1055.0,30.4,210,
1177-04630,Red-tailed,F,371.0,945.0,30.2,222,Infant
1177-04631,Red-tailed,F,361.0,785.0,28.7,201,Infant
1177-04632,Red-tailed,M,380.0,1000.0,29.0,204,Infant
1177-04633,Red-tailed,F,363.0,950.0,30.3,214,Infant
1177-04634,Red-tailed,F,374.0,895.0,30.8,219,Infant
1177-04635,Red-tailed,M,412.0,1150.0,33.2,230,Infant
1177-04636,Red-tailed,M,388.0,950.0,32.2,230,Infant
1177-04637,Red-tailed,F,371.0,990.0,29.7,217,Infant
1177-04638,Red-tailed,M,368.0,820.0,28.7,215,Infant
1177-04639,Red-tailed,F,410.0,1200.0,29.4,247,Infant
1177-04640,Red-tailed,F,368.0,1120.0,30.8,220,Infant
1177-04641,Red-tailed,F,370.0,920.0,29.7,221,Infant
1177-04642,Red-tailed,M,370.0,955.0,30.5,218,
1177-04643,Red-tailed,F,365.0,1025.0,30.1,225,Infant
1177-04644,Red-tailed,M,390.0,1135.0,31.1,238,Infant
1177-04645,Red-tailed,M,390.0,1050.0,29.9,218,Infant
1177-04646,Red-tailed,F,381.0,920.0,29.6,223,Infant
1177-04647,Red-tailed,M,356.0,915.0,28.9,195,Infant
1177-04648,Red-tailed,F,377.0,910.0,29.0,206,Infant
1177-04649,Red-tailed,M,362.0,950.0,29.7,213,Infant
1177-04650,Red-tailed,M,385.0,940.0,30.5,228,Infant
1177-04651,Red-tailed,M,400.0,1190.0,33.3,231,Infant
1177-04652,Red-tailed,F,363.0,915.0,28.3,209,Infant
1177-04653,Red-tailed,F,403.0,1310.0,33.3,237,Infant
1177-04654,Red-tailed,M,375.0,950.0,30.1,210,Infant
1177-04655,Red-tailed,M,373.0,975.0,27.9,215,Infant
1177-04656,Red-tailed,F,373.0,990.0,31.0,217,Infant
1177-04657,Red-tailed,F,373.0,1270.0,29.6,207,
1177-04658,Red-tailed,M,377.0,1045.0,31.5,223,Infant
1177-04659,Red-tailed,F,364.0,1090.0,30.3,218,Infant
1177-04660,Red-tailed,M,385.0,1180.0,30.0,222,Infant
1177-04661,Red-tailed,F,390.0,1195.0,34.7,235,Infant
1177-04662,Red-tailed,M,383.0,1055.0,32.7,208,
1177-04663,Red-tailed,F,365.0,1025.0,30.3,216,Infant
1177-04664,Red-tailed,F,376.0,940.0,31.7,217,Infant
1177-04665,Red-tailed,F,394.0,1085.0,32.7,235,Infant
1177-04666,Red-tailed,F,378.0,1090.0,30.9,212,
1177-04667,Red-tailed,M,369.0,995.0,28.2,211,Infant
1177-04668,Red-tailed,F,378.0,1090.0,30.7,201,
1177-04669,Red-tailed,M,262.0,1020.0,31.2,200,
1177-04670,Red-tailed,M,379.0,1000.0,32.2,217,
1177-04671,Red-tailed,F,380.0,1085.0,33.3,223,Infant
1177-04672,Red-tailed,M,380.0,1045.0,27.0,199,
1177-04673,Red-tailed,F,393.0,1060.0,32.4,217,Infant
1177-04674,Red-tailed,M,368.0,905.0,27.0,200,
1177-04675,Red-tailed,F,377.0,1125.0,29.5,220,Infant
1177-04676,Red-tailed,M,374.0,950.0,29.8,216,Infant
1177-04677,Red-tailed,F,385.0,1195.0,30.9,216,
1177-04678,Red-tailed,F,378.0,995.0,30.0,213,Infant
1177-04679,Red-tailed,M,392.0,1085.0,34.6,210,Infant
1177-04680,Red-tailed,M,378.0,235.0,30.7,223,Infant
1177-04681,Red-tailed,F,369.0,970.0,30.4,207,Infant
1177-04682,Red-tailed,M,378.0,1030.0,31.9,218,Infant
1177-04683,Red-tailed,F,373.0,1015.0,29.6,215,Infant
1177-04684,Red-tailed,M,419.0,1030.0,31.5,224,
1177-04685,Red-tailed,F,414.0,1215.0,29.2,242,Infant
1177-04686,Red-tailed,F,404.0,1170.0,32.8,237,Infant
1177-04688,Red-tailed,M,380.0,1105.0,30.8,208,Infant
1177-04689,Red-tailed,F,376.0,1055.0,32.2,222,Infant
1177-04690,Red-tailed,M,374.0,1080.0,31.3,206,
1177-04691,Red-tailed,F,376.0,910.0,32.2,220,Infant
1177-04692,Red-tailed,F,372.0,2030.0,30.2,196,Infant
1177-04694,Red-tailed,M,361.0,970.0,30.7,218,Infant
1177-04695,Red-tailed,F,389.0,1265.0,30.6,210,
1177-04696,Red-tailed,M,395.0,1170.0,30.5,218,
1177-04697,Red-tailed,F,368.0,1075.0,31.7,213,Infant
1177-04698,Red-tailed,M,363.0,1005.0,31.6,222,Infant
1177-04699,Red-tailed,F,370.0,1060.0,31.9,225,Infant
1177-04700,Red-tailed,F,401.0,965.0,29.1,235,Infant
1177-04701,Red-tailed,F,377.0,1095.0,31.7,206,
1177-04702,Red-tailed,M,277.0,1500.0,32.1,207,
1177-04703,Red-tailed,M,372.0,985.0,31.0,224,Infant
1177-04704,Red-tailed,M,390.0,240.0,29.3,218,Infant
1177-04705,Red-tailed,F,359.0,875.0,31.1,215,Infant
1177-04706,Red-tailed,M,393.0,1225.0,33.4,226,Infant
1177-04707,Red-tailed,M,362.0,950.0,30.7,212,Infant
1177-04708,Red-tailed,M,375.0,975.0,31.8,220,Infant
1177-04709,Red-tailed,F,388.0,1185.0,34.3,225,Infant
1177-04710,Red-tailed,M,392.0,1030.0,30.5,214,Infant
1177-04711,Red-tailed,M,371.0,1075.0,32.8,220,Infant
1177-04712,Red-tailed,M,385.0,1225.0,32.0,225,Infant
1177-04713,Red-tailed,F,370.0,920.0,32.0,226,Infant
1177-04714,Red-tailed,M,386.0,955.0,30.4,226,Infant
1177-04715,Red-tailed,F,361.0,1030.0,30.5,231,Infant
1177-04716,Red-tailed,M,377.0,1040.0,30.9,225,Infant
1177-04717,Red-tailed,M,375.0,1005.0,32.5,226,Infant
1177-04718,Red-tailed,F,407.0,1275.0,33.7,238,Infant
1177-04719,Red-tailed,F,375.0,1030.0,31.3,217,Infant
1177-0472,Red-tailed,M,397.0,1100.0,28.8,219,
1177-04720,Red-tailed,M,406.0,1290.0,33.3,227,
1177-04721,Red-tailed,F,386.0,1020.0,31.6,230,Infant
1177-04722,Red-tailed,F,378.0,1055.0,29.9,217,Infant
1177-04723,Red-tailed,F,379.0,1010.0,29.3,216,Infant
1177-04724,Red-tailed,M,364.0,1015.0,29.5,215,Infant
1177-04725,Red-tailed,F,350.0,1115.0,30.3,199,
1177-04726,Red-tailed,M,372.0,1145.0,32.2,212,Infant
1177-04727,Red-tailed,F,376.0,995.0,30.2,223,Infant
1177-04728,Red-tailed,M,367.0,1045.0,30.5,215,Infant
1177-04729,Red-tailed,F,386.0,1065.0,31.0,221,Infant
1177-0473,Red-tailed,F,366.0,1115.0,21.0,215,Infant
1177-04730,Red-tailed,M,375.0,1110.0,31.3,215,Infant
1177-04731,Red-tailed,M,405.0,1255.0,31.8,218,
1177-04732,Red-tailed,F,371.0,1015.0,28.4,204,
1177-04733,Red-tailed,F,350.0,960.0,29.9,218,Infant
1177-04734,Red-tailed,F,368.0,1090.0,30.4,216,
1177-04735,Red-tailed,F,372.0,1085.0,29.8,220,Infant
1177-04736,Red-tailed,M,396.0,1065.0,30.0,230,Infant
1177-04737,Red-tailed,F,365.0,1125.0,29.3,213,Infant
1177-04738,Red-tailed,M,374.0,1050.0,30.3,220,Infant
1177-04739,Red-tailed,M,372.0,980.0,29.0,215,Infant
1177-04740,Red-tailed,F,376.0,1180.0,30.7,214,Infant
1177-04741,Red-tailed,F,369.0,1095.0,28.4,215,Infant
1177-04746,Red-tailed,F,391.0,1035.0,33.1,221,Infant
1177-04747,Red-tailed,M,384.0,1010.0,31.1,230,Infant
1177-04748,Red-tailed,F,385.0,990.0,29.6,225,Infant
1177-04749,Red-tailed,M,379.0,945.0,31.3,224,Infant
1177-04750,Red-tailed,F,367.0,970.0,30.5,215,Infant
1177-04751,Red-tailed,M,364.0,1150.0,28.2,196,
1177-04752,Red-tailed,F,370.0,960.0,30.4,217,Infant
1177-04753,Red-tailed,F,375.0,925.0,28.6,220,Infant
1177-04754,Red-tailed,F,385.0,1040.0,31.5,238,Infant
1177-04755,Red-tailed,F,360.0,935.0,30.0,212,Infant
1177-04756,Red-tailed,M,372.0,1010.0,29.0,197,
1177-04757,Red-tailed,M,375.0,1010.0,30.8,218,Infant
1177-04758,Red-tailed,F,373.0,960.0,32.5,222,Infant
1177-04759,Red-tailed,M,385.0,1370.0,29.2,233,Infant
1177-04760,Red-tailed,F,375.0,850.0,28.0,218,Infant
1177-04761,Red-tailed,M,380.0,1005.0,31.6,205,
1177-04762,Red-tailed,F,370.0,1020.0,30.0,211,Infant
1177-04763,Red-tailed,F,365.0,895.0,28.9,217,Infant
1177-04764,Red-tailed,M,371.0,1160.0,28.4,218,Infant
1177-04765,Red-tailed,M,382.0,1140.0,31.6,218,
1177-04766,Red-tailed,M,370.0,1145.0,30.2,212,
1177-04767,Red-tailed,M,347.0,990.0,29.8,203,
1177-04768,Red-tailed,F,363.0,945.0,,218,Infant
1177-04769,Red-tailed,F,392.0,1030.0,28.1,196,
1177-04770,Red-tailed,M,365.0,990.0,30.0,217,Infant
1177-04771,Red-tailed,F,387.0,1065.0,32.7,212,
1177-04772,Red-tailed,M,400.0,1050.0,29.7,237,Infant
1177-04773,Red-tailed,F,370.0,1000.0,31.4,201,
1177-04774,Red-tailed,F,360.0,1325.0,30.6,224,
1177-04775,Red-tailed,M,366.0,945.0,27.2,199,
1177-04776,Red-tailed,F,402.0,1350.0,31.0,219,
1177-04777,Red-tailed,F,380.0,1525.0,27.6,224,Infant
1177-04778,Red-tailed,M,369.0,860.0,28.0,207,Infant
1177-06415,Red-tailed,M,387.0,995.0,31.4,235,Infant
1177-0744,Red-tailed,F,400.0,1175.0,32.6,234,Infant
1177-0745,Red-tailed,F,365.0,970.0,31.6,208,
1177-14606,Red-tailed,F,382.0,1040.0,30.8,210,
1177-14621,Red-tailed,F,404.0,280.0,31.55,224,
1202-72601,Red-tailed,F,230.0,340.0,30.5,200,Infant
1204-45804,Coopers,M,233.0,340.0,19.4,186,
1204-45805,Coopers,M,239.0,183.0,19.2,182,
1204-45806,Coopers,M,236.0,390.0,20.4,185,
1204-45807,Sharp-shinned,F,215.0,180.0,12.7,132,Infant
1204-45808,Sharp-shinned,M,195.0,150.0,14.6,178,Infant
1204-45809,Coopers,M,336.0,742.0,18.8,221,Infant
1204-45867,Coopers,M,225.0,340.0,19.4,190,
1204-45868,Coopers,M,237.0,365.0,19.9,195,
1204-45869,Coopers,M,230.0,350.0,21.3,187,Infant
1204-45870,Coopers,M,225.0,325.0,18.7,179,Infant
1204-45871,Coopers,M,223.0,375.0,20.7,185,Infant
1204-45878,Coopers,F,243.0,334.0,19.2,196,
1204-45879,Coopers,M,216.0,305.0,20.4,185,Infant
1204-45880,Coopers,M,218.0,295.0,19.4,183,Infant
1204-45881,Coopers,M,225.0,300.0,20.1,183,Infant
1204-45882,Coopers,M,233.0,335.0,21.3,187,
1204-45883,Coopers,M,230.0,335.0,19.7,201,Infant
1204-45884,Coopers,M,220.0,335.0,20.0,185,Infant
1204-45885,Coopers,M,230.0,360.0,22.1,186,
1204-45886,Coopers,M,220.0,320.0,19.5,184,Infant
1204-5874,Coopers,M,230.0,340.0,19.5,196,Infant
120407-804,Coopers,M,233.0,324.0,19.3,191,Infant
12044-5876,Coopers,M,213.0,339.0,13.8,184,
12044-5877,Coopers,M,235.0,327.0,20.3,193,Infant
1205-24636,Coopers,F,255.0,429.0,22.9,208,Infant
1207-22630,Red-tailed,M,400.0,1089.0,33.1,228,Infant
1207-53144,Red-tailed,M,366.0,805.0,25.7,217,Infant
1207-53145,Red-tailed,F,199.0,1290.0,32.1,222,
1207-55910 ,Red-tailed,F,412.0,1090.0,32.2,230,Infant
1207-55911,Red-tailed,F,405.0,1120.0,30.2,238,Infant
1207-55912,Red-tailed,M,416.0,1170.0,34.0,243,Infant
1207-55913,Red-tailed,F,436.0,1390.0,34.0,232,
1207-55914,Red-tailed,M,401.0,1190.0,31.6,245,
1207-55915,Red-tailed,F,395.0,1040.0,31.4,207,
1207-55916,Red-tailed,F,396.0,1030.0,29.7,200,
1207-55917,Red-tailed,F,393.0,,30.6,238,
1207-55918,Red-tailed,M,391.0,1300.0,32.4,215,
1207-55919,Red-tailed,F,413.0,1500.0,31.3,219,
1207-55920,Red-tailed,F,385.0,1320.0,30.1,207,
1207-55921,Red-tailed,F,416.0,1500.0,30.8,205,
1207-55922,Red-tailed,M,410.0,1255.0,31.4,229,Infant
1207-55923,Red-tailed,F,241.0,1320.0,36.4,235,Infant
1207-55924,Red-tailed,M,408.0,1320.0,33.4,221,Infant
1207-55927,Red-tailed,F,396.0,1250.0,32.5,225,Infant
1207-55941,Red-tailed,F,420.0,1345.0,34.3,250,Infant
1207-55947,Red-tailed,M,398.0,1455.0,31.5,236,Infant
1207-64601,Red-tailed,F,422.0,1340.0,32.0,248,Infant
1207-64602,Red-tailed,M,416.0,1390.0,31.3,225,
1207-64603,Red-tailed,F,406.0,1275.0,33.7,238,Infant
1207-64604,Red-tailed,M,418.0,1180.0,341.4,235,Infant
1207-64605,Red-tailed,F,412.0,1210.0,33.8,222,Infant
1207-64606,Red-tailed,F,428.0,1240.0,34.7,245,Infant
