bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,island,body_mass_kg,species
,18.7,181.0,3750.0,Male,Torgersen,3.75,Adelie
39.5,17.4,186.0,3800.0,Female,Torgersen,3.8,Adelie
40.3,18.0,195.0,3250.0,Female,Torgersen,3.25,Adelie
36.7,19.3,193.0,3450.0,Female,Torgersen,3.45,Adelie
39.3,20.6,190.0,3650.0,Male,Torgersen,3.65,Adelie
38.9,17.8,181.0,3625.0,Female,nan,3.625,Adelie
39.2,19.6,195.0,4675.0,Male,Torgersen,4.675,Adelie
41.1,17.6,182.0,3200.0,Female,Torgersen,3.2,Adelie
38.6,21.2,,3800.0,Male,Torgersen,3.8,Adelie
34.6,21.1,198.0,4400.0,Male,Torgersen,4.4,Adelie
36.6,17.8,,3700.0,Female,Torgersen,3.7,Adelie
38.7,19.0,195.0,3450.0,Female,Torgersen,3.45,Adelie
42.5,20.7,197.0,,Male,Torgersen,,Adelie
34.4,18.4,184.0,3325.0,Female,Torgersen,3.325,Adelie
46.0,21.5,194.0,4200.0,Male,Torgersen,4.2,Adelie
37.8,18.3,174.0,3400.0,Female,Biscoe,3.4,Adelie
37.7,18.7,180.0,3600.0,Male,Biscoe,3.6,Adelie
35.9,19.2,,3800.0,Female,Biscoe,3.8,Adelie
38.2,18.1,185.0,3950.0,Male,Biscoe,3.95,Adelie
38.8,17.2,180.0,,Male,Biscoe,,Adelie
35.3,18.9,187.0,3800.0,Female,Biscoe,3.8,Adelie
,18.6,183.0,3550.0,nan,Biscoe,3.55,Adelie
40.5,17.9,187.0,3200.0,Female,Biscoe,3.2,Adelie
37.9,18.6,172.0,3150.0,Female,Biscoe,3.15,Adelie
40.5,18.9,180.0,3950.0,Male,Biscoe,3.95,Adelie
39.5,16.7,178.0,3250.0,Female,Dream,3.25,Adelie
37.2,18.1,178.0,3900.0,Male,Dream,3.9,Adelie
39.5,17.8,188.0,3300.0,Female,Dream,3.3,Adelie
40.9,18.9,184.0,3900.0,Male,Dream,3.9,Adelie
36.4,17.0,195.0,3325.0,Female,Dream,3.325,Adelie
39.2,21.1,196.0,4150.0,Male,Dream,4.15,Adelie
,20.0,190.0,3950.0,Male,Dream,3.95,Adelie
42.2,18.5,180.0,3550.0,Female,Dream,3.55,Adelie
37.6,19.3,,3300.0,Female,Dream,3.3,Adelie
39.8,19.1,184.0,4650.0,Male,Dream,4.65,Adelie
36.5,18.0,182.0,3150.0,nan,Dream,3.15,Adelie
40.8,18.4,195.0,3900.0,Male,Dream,3.9,Adelie
36.0,18.5,186.0,3100.0,Female,nan,3.1,Adelie
44.1,19.7,196.0,4400.0,Male,Dream,4.4,Adelie
37.0,16.9,185.0,3000.0,Female,Dream,3.0,Adelie
39.6,18.8,190.0,4600.0,Male,nan,4.6,Adelie
41.1,19.0,182.0,3425.0,Male,Dream,3.425,Adelie
36.0,17.9,190.0,3450.0,Female,Dream,3.45,Adelie
42.3,21.2,191.0,4150.0,Male,Dream,4.15,Adelie
39.6,17.7,186.0,3500.0,Female,Biscoe,3.5,Adelie
,18.9,188.0,4300.0,Male,Biscoe,4.3,Adelie
35.0,17.9,190.0,3450.0,Female,Biscoe,3.45,Adelie
42.0,19.5,200.0,4050.0,Male,Biscoe,4.05,Adelie
34.5,18.1,187.0,2900.0,Female,Biscoe,2.9,Adelie
41.4,18.6,191.0,3700.0,Male,Biscoe,3.7,Adelie
39.0,17.5,,3550.0,Female,Biscoe,3.55,Adelie
,,,3800.0,Male,Biscoe,3.8,Adelie
36.5,16.6,181.0,2850.0,Female,Biscoe,2.85,Adelie
,19.1,194.0,3750.0,Male,Biscoe,3.75,Adelie
35.7,16.9,185.0,3150.0,Female,Biscoe,3.15,Adelie
41.3,21.1,195.0,4400.0,nan,Biscoe,4.4,Adelie
,17.0,185.0,3600.0,Female,Biscoe,3.6,Adelie
41.1,18.2,192.0,4050.0,Male,Biscoe,4.05,Adelie
36.4,17.1,184.0,2850.0,Female,Biscoe,2.85,Adelie
41.6,18.0,192.0,3950.0,Male,Biscoe,3.95,Adelie
35.5,16.2,195.0,3350.0,Female,Biscoe,3.35,Adelie
41.1,19.1,188.0,4100.0,Male,Biscoe,4.1,Adelie
35.9,16.6,190.0,3050.0,Female,Torgersen,3.05,Adelie
41.8,19.4,198.0,4450.0,Male,Torgersen,4.45,Adelie
33.5,19.0,190.0,,Female,Torgersen,,Adelie
39.7,18.4,190.0,3900.0,Male,Torgersen,3.9,Adelie
39.6,17.2,196.0,3550.0,nan,Torgersen,3.55,Adelie
45.8,18.9,197.0,4150.0,Male,Torgersen,4.15,Adelie
35.5,17.5,190.0,3700.0,Female,Torgersen,3.7,Adelie
42.8,18.5,195.0,4250.0,Male,Torgersen,4.25,Adelie
40.9,16.8,191.0,3700.0,Female,Torgersen,3.7,Adelie
37.2,19.4,184.0,3900.0,Male,Torgersen,3.9,Adelie
36.2,16.1,187.0,3550.0,Female,Torgersen,3.55,Adelie
42.1,19.1,195.0,,Male,Torgersen,,Adelie
34.6,17.2,189.0,3200.0,Female,Torgersen,3.2,Adelie
42.9,17.6,196.0,4700.0,Male,nan,4.7,Adelie
36.7,18.8,187.0,3800.0,Female,Torgersen,3.8,Adelie
35.1,19.4,193.0,4200.0,Male,Torgersen,4.2,Adelie
37.3,17.8,191.0,3350.0,Female,Dream,3.35,Adelie
41.3,20.3,194.0,3550.0,Male,Dream,3.55,Adelie
36.3,19.5,190.0,3800.0,Male,Dream,3.8,Adelie
36.9,18.6,189.0,3500.0,Female,Dream,3.5,Adelie
38.3,19.2,189.0,3950.0,Male,Dream,3.95,Adelie
38.9,18.8,190.0,3600.0,Female,Dream,3.6,Adelie
35.7,18.0,202.0,3550.0,Female,Dream,3.55,Adelie
41.1,18.1,205.0,4300.0,Male,Dream,4.3,Adelie
34.0,17.1,185.0,3400.0,Female,Dream,3.4,Adelie
39.6,18.1,186.0,4450.0,Male,nan,4.45,Adelie
36.2,17.3,187.0,3300.0,Female,Dream,3.3,Adelie
40.8,18.9,208.0,4300.0,Male,Dream,4.3,Adelie
38.1,18.6,190.0,3700.0,Female,Dream,3.7,Adelie
40.3,18.5,196.0,4350.0,Male,Dream,4.35,Adelie
33.1,16.1,178.0,2900.0,Female,Dream,2.9,Adelie
43.2,18.5,192.0,4100.0,Male,Dream,4.1,Adelie
35.0,17.9,192.0,3725.0,Female,Biscoe,3.725,Adelie
41.0,20.0,203.0,4725.0,nan,Biscoe,4.725,Adelie
37.7,16.0,183.0,3075.0,Female,Biscoe,3.075,Adelie
37.8,20.0,190.0,4250.0,Male,Biscoe,4.25,Adelie
37.9,,,,Female,Biscoe,,Adelie
39.7,18.9,184.0,3550.0,Male,Biscoe,3.55,Adelie
38.6,17.2,199.0,3750.0,Female,Biscoe,3.75,Adelie
38.2,20.0,190.0,3900.0,Male,Biscoe,3.9,Adelie
38.1,17.0,181.0,3175.0,Female,Biscoe,3.175,Adelie
43.2,19.0,197.0,4775.0,Male,Biscoe,4.775,Adelie
38.1,16.5,198.0,,Female,Biscoe,,Adelie
45.6,20.3,191.0,4600.0,Male,Biscoe,4.6,Adelie
39.7,17.7,193.0,3200.0,Female,Biscoe,3.2,Adelie
42.2,19.5,197.0,4275.0,Male,Biscoe,4.275,Adelie
39.6,20.7,191.0,3900.0,Female,Biscoe,3.9,Adelie
42.7,18.3,196.0,4075.0,Male,Biscoe,4.075,Adelie
38.6,17.0,188.0,2900.0,Female,nan,2.9,Adelie
,20.5,199.0,3775.0,Male,Torgersen,3.775,Adelie
35.7,17.0,189.0,3350.0,Female,Torgersen,3.35,Adelie
41.1,18.6,189.0,3325.0,Male,Torgersen,3.325,Adelie
36.2,17.2,187.0,3150.0,Female,Torgersen,3.15,Adelie
37.7,19.8,198.0,3500.0,Male,Torgersen,3.5,Adelie
40.2,17.0,176.0,3450.0,Female,Torgersen,3.45,Adelie
41.4,18.5,202.0,3875.0,Male,Torgersen,3.875,Adelie
35.2,15.9,186.0,3050.0,Female,Torgersen,3.05,Adelie
40.6,19.0,199.0,4000.0,Male,Torgersen,4.0,Adelie
38.8,17.6,191.0,3275.0,Female,Torgersen,3.275,Adelie
,18.3,195.0,4300.0,Male,Torgersen,4.3,Adelie
39.0,17.1,191.0,3050.0,Female,Torgersen,3.05,Adelie
44.1,18.0,210.0,4000.0,Male,Torgersen,4.0,Adelie
38.5,17.9,190.0,3325.0,Female,Torgersen,3.325,Adelie
43.1,19.2,197.0,3500.0,Male,Torgersen,3.5,Adelie
36.8,18.5,193.0,3500.0,Female,Dream,3.5,Adelie
37.5,18.5,199.0,4475.0,Male,Dream,4.475,Adelie
,17.6,,,Female,nan,,Adelie
41.1,,190.0,3900.0,Male,Dream,3.9,Adelie
35.6,17.5,191.0,3175.0,Female,Dream,3.175,Adelie
40.2,20.1,200.0,3975.0,Male,Dream,3.975,Adelie
37.0,16.5,185.0,3400.0,Female,Dream,3.4,Adelie
39.7,17.9,193.0,4250.0,Male,Dream,4.25,Adelie
40.2,17.1,193.0,3400.0,Female,Dream,3.4,Adelie
40.6,17.2,187.0,3475.0,Male,Dream,3.475,Adelie
32.1,15.5,188.0,,Female,Dream,,Adelie
40.7,17.0,190.0,3725.0,Male,nan,3.725,Adelie
37.3,16.8,192.0,3000.0,Female,Dream,3.0,Adelie
39.0,18.7,185.0,3650.0,Male,Dream,3.65,Adelie
39.2,18.6,,4250.0,Male,Dream,4.25,Adelie
36.6,18.4,184.0,3475.0,Female,Dream,3.475,Adelie
36.0,17.8,195.0,3450.0,Female,Dream,3.45,Adelie
37.8,18.1,193.0,3750.0,Male,Dream,3.75,Adelie
36.0,17.1,187.0,3700.0,Female,nan,3.7,Adelie
41.5,18.5,201.0,4000.0,Male,Dream,4.0,Adelie
46.5,17.9,192.0,3500.0,Female,Dream,3.5,Chinstrap
50.0,19.5,196.0,,Male,Dream,,Chinstrap
51.3,19.2,193.0,3650.0,Male,Dream,3.65,Chinstrap
45.4,18.7,188.0,3525.0,Female,Dream,3.525,Chinstrap
52.7,19.8,197.0,3725.0,Male,Dream,3.725,Chinstrap
45.2,17.8,198.0,3950.0,Female,Dream,3.95,Chinstrap
46.1,18.2,178.0,3250.0,Female,nan,3.25,Chinstrap
51.3,18.2,197.0,3750.0,Male,Dream,3.75,Chinstrap
46.0,18.9,195.0,4150.0,Female,nan,4.15,Chinstrap
51.3,19.9,198.0,3700.0,Male,Dream,3.7,Chinstrap
46.6,17.8,193.0,3800.0,Female,Dream,3.8,Chinstrap
51.7,20.3,194.0,,Male,Dream,,Chinstrap
47.0,17.3,,3700.0,Female,Dream,3.7,Chinstrap
,18.1,201.0,4050.0,Male,Dream,4.05,Chinstrap
45.9,17.1,190.0,3575.0,nan,Dream,3.575,Chinstrap
50.5,19.6,201.0,4050.0,Male,Dream,4.05,Chinstrap
50.3,20.0,197.0,3300.0,nan,Dream,3.3,Chinstrap
58.0,17.8,181.0,3700.0,Female,Dream,3.7,Chinstrap
46.4,18.6,190.0,3450.0,Female,Dream,3.45,Chinstrap
49.2,18.2,195.0,4400.0,Male,Dream,4.4,Chinstrap
42.4,17.3,181.0,3600.0,Female,Dream,3.6,Chinstrap
48.5,17.5,191.0,3400.0,Male,Dream,3.4,Chinstrap
43.2,16.6,187.0,2900.0,Female,Dream,2.9,Chinstrap
50.6,,193.0,3800.0,Male,Dream,3.8,Chinstrap
46.7,17.9,195.0,3300.0,Female,Dream,3.3,Chinstrap
52.0,19.0,197.0,4150.0,nan,Dream,4.15,Chinstrap
50.5,18.4,200.0,3400.0,Female,Dream,3.4,Chinstrap
49.5,19.0,200.0,3800.0,Male,Dream,3.8,Chinstrap
46.4,17.8,191.0,3700.0,Female,Dream,3.7,Chinstrap
52.8,20.0,,4550.0,Male,Dream,4.55,Chinstrap
40.9,16.6,187.0,,Female,Dream,,Chinstrap
54.2,20.8,201.0,4300.0,Male,Dream,4.3,Chinstrap
42.5,16.7,187.0,3350.0,Female,Dream,3.35,Chinstrap
51.0,18.8,203.0,4100.0,Male,Dream,4.1,Chinstrap
49.7,18.6,195.0,3600.0,Male,nan,3.6,Chinstrap
47.5,16.8,199.0,3900.0,Female,Dream,3.9,Chinstrap
47.6,18.3,195.0,3850.0,Female,Dream,3.85,Chinstrap
52.0,20.7,210.0,4800.0,Male,Dream,4.8,Chinstrap
46.9,16.6,192.0,,Female,Dream,,Chinstrap
53.5,19.9,,4500.0,Male,Dream,4.5,Chinstrap
49.0,19.5,,3950.0,Male,Dream,3.95,Chinstrap
46.2,17.5,187.0,3650.0,Female,Dream,3.65,Chinstrap
50.9,,196.0,3550.0,Male,Dream,3.55,Chinstrap
45.5,17.0,196.0,3500.0,Female,Dream,3.5,Chinstrap
50.9,,196.0,3675.0,Female,Dream,3.675,Chinstrap
50.8,18.5,201.0,4450.0,Male,Dream,4.45,Chinstrap
50.1,17.9,,3400.0,Female,Dream,3.4,Chinstrap
49.0,19.6,212.0,4300.0,Male,Dream,4.3,Chinstrap
51.5,18.7,187.0,3250.0,Male,Dream,3.25,Chinstrap
49.8,17.3,198.0,3675.0,Female,Dream,3.675,Chinstrap
48.1,16.4,,3325.0,nan,Dream,3.325,Chinstrap
51.4,19.0,201.0,3950.0,Male,Dream,3.95,Chinstrap
45.7,17.3,193.0,3600.0,Female,Dream,3.6,Chinstrap
50.7,19.7,203.0,4050.0,Male,Dream,4.05,Chinstrap
42.5,17.3,187.0,3350.0,Female,Dream,3.35,Chinstrap
52.2,18.8,197.0,3450.0,Male,Dream,3.45,Chinstrap
45.2,16.6,191.0,3250.0,Female,Dream,3.25,Chinstrap
49.3,19.9,203.0,4050.0,Male,Dream,4.05,Chinstrap
50.2,18.8,202.0,3800.0,Male,Dream,3.8,Chinstrap
45.6,19.4,194.0,3525.0,Female,Dream,3.525,Chinstrap
51.9,19.5,206.0,3950.0,Male,Dream,3.95,Chinstrap
46.8,16.5,189.0,3650.0,Female,Dream,3.65,Chinstrap
45.7,17.0,,3650.0,Female,Dream,3.65,Chinstrap
55.8,19.8,207.0,4000.0,Male,Dream,4.0,Chinstrap
43.5,18.1,202.0,3400.0,Female,Dream,3.4,Chinstrap
49.6,18.2,193.0,3775.0,Male,Dream,3.775,Chinstrap
50.8,19.0,210.0,,Male,Dream,,Chinstrap
50.2,18.7,198.0,3775.0,Female,Dream,3.775,Chinstrap
46.1,13.2,211.0,4500.0,Female,Biscoe,4.5,Gentoo
50.0,16.3,230.0,5700.0,Male,nan,5.7,Gentoo
48.7,14.1,210.0,,Female,Biscoe,,Gentoo
50.0,15.2,218.0,,Male,Biscoe,,Gentoo
47.6,14.5,215.0,5400.0,Male,Biscoe,5.4,Gentoo
46.5,13.5,210.0,4550.0,Female,Biscoe,4.55,Gentoo
45.4,,211.0,4800.0,Female,Biscoe,4.8,Gentoo
46.7,15.3,219.0,5200.0,Male,Biscoe,5.2,Gentoo
43.3,13.4,209.0,,Female,Biscoe,,Gentoo
46.8,15.4,215.0,5150.0,Male,nan,5.15,Gentoo
40.9,13.7,214.0,4650.0,Female,Biscoe,4.65,Gentoo
49.0,16.1,216.0,5550.0,Male,Biscoe,5.55,Gentoo
45.5,13.7,214.0,4650.0,Female,nan,4.65,Gentoo
48.4,14.6,213.0,5850.0,Male,Biscoe,5.85,Gentoo
45.8,14.6,,4200.0,Female,Biscoe,4.2,Gentoo
49.3,15.7,217.0,5850.0,Male,Biscoe,5.85,Gentoo
42.0,13.5,210.0,4150.0,Female,Biscoe,4.15,Gentoo
49.2,15.2,221.0,6300.0,Male,Biscoe,6.3,Gentoo
46.2,14.5,209.0,4800.0,Female,Biscoe,4.8,Gentoo
48.7,15.1,222.0,5350.0,Male,Biscoe,5.35,Gentoo
50.2,14.3,218.0,5700.0,Male,Biscoe,5.7,Gentoo
45.1,14.5,215.0,5000.0,Female,Biscoe,5.0,Gentoo
46.5,14.5,213.0,4400.0,Female,Biscoe,4.4,Gentoo
46.3,15.8,215.0,5050.0,Male,Biscoe,5.05,Gentoo
42.9,13.1,215.0,5000.0,Female,Biscoe,5.0,Gentoo
46.1,15.1,215.0,5100.0,Male,Biscoe,5.1,Gentoo
47.8,15.0,215.0,5650.0,Male,Biscoe,5.65,Gentoo
48.2,14.3,210.0,4600.0,Female,Biscoe,4.6,Gentoo
50.0,15.3,220.0,5550.0,Male,Biscoe,5.55,Gentoo
47.3,15.3,222.0,5250.0,Male,Biscoe,5.25,Gentoo
42.8,14.2,209.0,4700.0,Female,Biscoe,4.7,Gentoo
,14.5,207.0,,Female,Biscoe,,Gentoo
59.6,17.0,230.0,6050.0,Male,Biscoe,6.05,Gentoo
49.1,14.8,220.0,5150.0,Female,Biscoe,5.15,Gentoo
48.4,16.3,220.0,5400.0,Male,Biscoe,5.4,Gentoo
42.6,,213.0,4950.0,Female,Biscoe,4.95,Gentoo
,17.3,219.0,5250.0,Male,Biscoe,5.25,Gentoo
44.0,13.6,208.0,4350.0,Female,Biscoe,4.35,Gentoo
48.7,15.7,208.0,5350.0,Male,Biscoe,5.35,Gentoo
42.7,13.7,208.0,3950.0,Female,Biscoe,3.95,Gentoo
49.6,16.0,225.0,5700.0,Male,Biscoe,5.7,Gentoo
45.3,13.7,210.0,4300.0,Female,nan,4.3,Gentoo
49.6,15.0,216.0,4750.0,Male,Biscoe,4.75,Gentoo
50.5,15.9,222.0,5550.0,nan,Biscoe,5.55,Gentoo
43.6,13.9,217.0,4900.0,Female,Biscoe,4.9,Gentoo
45.5,13.9,210.0,4200.0,Female,Biscoe,4.2,Gentoo
50.5,15.9,225.0,5400.0,Male,nan,5.4,Gentoo
44.9,13.3,213.0,5100.0,Female,Biscoe,5.1,Gentoo
45.2,15.8,215.0,5300.0,Male,Biscoe,5.3,Gentoo
46.6,14.2,210.0,4850.0,Female,Biscoe,4.85,Gentoo
,14.1,220.0,5300.0,Male,Biscoe,5.3,Gentoo
45.1,14.4,210.0,4400.0,Female,Biscoe,4.4,Gentoo
50.1,15.0,225.0,5000.0,Male,nan,5.0,Gentoo
46.5,14.4,217.0,4900.0,Female,nan,4.9,Gentoo
45.0,15.4,220.0,5050.0,Male,Biscoe,5.05,Gentoo
43.8,13.9,208.0,4300.0,Female,Biscoe,4.3,Gentoo
45.5,15.0,220.0,5000.0,Male,Biscoe,5.0,Gentoo
43.2,14.5,208.0,4450.0,Female,Biscoe,4.45,Gentoo
50.4,15.3,224.0,5550.0,Male,Biscoe,5.55,Gentoo
45.3,13.8,208.0,4200.0,Female,Biscoe,4.2,Gentoo
46.2,14.9,221.0,5300.0,Male,Biscoe,5.3,Gentoo
45.7,13.9,214.0,,Female,Biscoe,,Gentoo
54.3,15.7,231.0,5650.0,Male,Biscoe,5.65,Gentoo
45.8,,219.0,4700.0,Female,Biscoe,4.7,Gentoo
49.8,16.8,230.0,5700.0,Male,Biscoe,5.7,Gentoo
49.5,16.2,229.0,5800.0,Male,Biscoe,5.8,Gentoo
43.5,14.2,220.0,4700.0,Female,Biscoe,4.7,Gentoo
50.7,15.0,223.0,5550.0,Male,Biscoe,5.55,Gentoo
47.7,15.0,216.0,4750.0,Female,nan,4.75,Gentoo
46.4,15.6,,5000.0,Male,Biscoe,5.0,Gentoo
48.2,15.6,221.0,5100.0,Male,nan,5.1,Gentoo
46.5,14.8,217.0,5200.0,Female,Biscoe,5.2,Gentoo
46.4,15.0,216.0,4700.0,Female,Biscoe,4.7,Gentoo
48.6,16.0,230.0,5800.0,Male,Biscoe,5.8,Gentoo
47.5,14.2,209.0,4600.0,Female,Biscoe,4.6,Gentoo
51.1,16.3,220.0,6000.0,Male,Biscoe,6.0,Gentoo
45.2,13.8,215.0,4750.0,Female,Biscoe,4.75,Gentoo
45.2,16.4,223.0,5950.0,nan,Biscoe,5.95,Gentoo
49.1,14.5,212.0,4625.0,Female,Biscoe,4.625,Gentoo
52.5,15.6,221.0,5450.0,Male,Biscoe,5.45,Gentoo
47.4,14.6,212.0,4725.0,Female,Biscoe,4.725,Gentoo
50.0,15.9,224.0,5350.0,Male,Biscoe,5.35,Gentoo
44.9,13.8,212.0,4750.0,Female,Biscoe,4.75,Gentoo
50.8,17.3,228.0,5600.0,Male,Biscoe,5.6,Gentoo
43.4,14.4,218.0,4600.0,Female,Biscoe,4.6,Gentoo
51.3,14.2,218.0,5300.0,Male,Biscoe,5.3,Gentoo
,14.0,212.0,4875.0,Female,Biscoe,4.875,Gentoo
52.1,17.0,230.0,5550.0,Male,Biscoe,5.55,Gentoo
47.5,15.0,218.0,4950.0,Female,Biscoe,4.95,Gentoo
,17.1,228.0,5400.0,Male,Biscoe,5.4,Gentoo
45.5,14.5,212.0,4750.0,Female,Biscoe,4.75,Gentoo
49.5,16.1,224.0,5650.0,Male,Biscoe,5.65,Gentoo
44.5,14.7,214.0,,Female,Biscoe,,Gentoo
,15.7,226.0,5200.0,Male,Biscoe,5.2,Gentoo
49.4,15.8,216.0,4925.0,Male,Biscoe,4.925,Gentoo
46.9,14.6,222.0,4875.0,Female,Biscoe,4.875,Gentoo
48.4,14.4,203.0,4625.0,Female,Biscoe,4.625,Gentoo
51.1,16.5,225.0,5250.0,Male,Biscoe,5.25,Gentoo
48.5,15.0,219.0,4850.0,Female,Biscoe,4.85,Gentoo
55.9,17.0,228.0,5600.0,Male,Biscoe,5.6,Gentoo
47.2,15.5,,,Female,Biscoe,,Gentoo
49.1,15.0,228.0,5500.0,Male,Biscoe,5.5,Gentoo
46.8,16.1,215.0,5500.0,Male,Biscoe,5.5,Gentoo
,14.7,210.0,4700.0,Female,Biscoe,4.7,Gentoo
53.4,,219.0,5500.0,Male,Biscoe,5.5,Gentoo
43.3,14.0,208.0,4575.0,Female,Biscoe,4.575,Gentoo
48.1,15.1,209.0,5500.0,Male,Biscoe,5.5,Gentoo
50.5,15.2,216.0,5000.0,Female,Biscoe,5.0,Gentoo
49.8,15.9,229.0,,Male,Biscoe,,Gentoo
43.5,15.2,213.0,4650.0,Female,nan,4.65,Gentoo
51.5,16.3,230.0,5500.0,Male,nan,5.5,Gentoo
46.2,14.1,217.0,,Female,Biscoe,,Gentoo
55.1,16.0,230.0,5850.0,Male,nan,5.85,Gentoo
48.8,16.2,222.0,6000.0,Male,Biscoe,6.0,Gentoo
47.2,,214.0,4925.0,Female,Biscoe,4.925,Gentoo
46.8,14.3,,4850.0,Female,Biscoe,4.85,Gentoo
50.4,15.7,222.0,5750.0,Male,Biscoe,5.75,Gentoo
45.2,14.8,212.0,5200.0,Female,Biscoe,5.2,Gentoo
49.9,16.1,213.0,5400.0,Male,Biscoe,5.4,Gentoo
